"","id","name","styleId","style.name","style.shortName","abv","ibu","srmId","originalGravity","isOrganic"
"1","StdoHr","!",13,"Old Ale","Old Ale",8.2,NA,NA,NA,"N"
"2","cBLTUw","\18\"" Imperial IPA 2""",43,"American-Style Imperial Stout","American Imperial Stout",11.1,NA,33,NA,"N"
"3","tmEthz","\Admiral\"" Stache""",104,"Baltic-Style Porter","Baltic Porter",7,23,37,1.071,"N"
"4","zcJMId","\Alternating Currant\"" Sour""",40,"American-Style Sour Ale","Sour",4.8,12,NA,NA,"N"
"5","UM8GL6","\B\"" Street Pineapple Blonde""",36,"Golden or Blonde Ale","Blonde",4.6,NA,5,NA,"N"
"6","NIaY9C","\B.B. Rodriguez\"" Double Brown""",37,"American-Style Brown Ale","American Brown",8.5,30,NA,NA,"N"
"7","wRmmdv","\California Crude\"" Black IPA""",41,"American-Style Black Ale","Black Ale",7.6,80,NA,NA,"N"
"8","EPYNpW","\C’est Noir\"" Imperial Stout""",16,"British-Style Imperial Stout","British Imperial Stout",10.8,70,NA,NA,"N"
"9","c5pZg5","\EVL1\"" Imperial Red Ale""",33,"Imperial Red Ale","Imperial Red",10.4,64,NA,NA,"N"
"10","xBKAka","\Galactic Wrath\"" IPA""",30,"American-Style India Pale Ale","American IPA",7.5,75,NA,NA,"N"
"11","Hr5A0t","\God Country\"" Kolsch""",45,"German-Style Kölsch / Köln-Style Kölsch","Kölsch",5.6,28.2,5,NA,"N"
"12","UjFyXJ","\Hey Victor\"" Smoked Porter""",129,"Smoke Beer (Lager or Ale)","Smoke Beer",5.5,NA,NA,NA,"N"
"13","5UcMBc","\Ignition\"" IPA""",30,"American-Style India Pale Ale","American IPA",6.6,45,NA,NA,"N"
"14","mrVjY4","\Jemez Field Notes\"" Golden Lager""",36,"Golden or Blonde Ale","Blonde",4.9,20,5,NA,"N"
"15","54rSgo","\Jemmy Dean\"" Breakfast Stout""",20,"Sweet or Cream Stout","Sweet Stout",NA,NA,NA,NA,"N"
"16","nu8rfR","\Mary Lee Please Don't Eat Me\"" Saison Ale""",72,"French & Belgian-Style Saison","Saison",5,NA,NA,NA,"N"
"17","b7WWL6","\Mike Saw a Sasquatch\"" Session Ale""",36,"Golden or Blonde Ale","Blonde",4.7,26,NA,NA,"N"
"18","HXmS9k","\My\"" Bock""",88,"Traditional German-Style Bock","Bock",6,NA,NA,NA,"N"
"19","giqbO2","\Not Just Some\"" Oatmeal Stout""",21,"Oatmeal Stout","Oatmeal Stout",NA,NA,NA,NA,"N"
"20","HhyVO1","\Pinch\"" Pilsner""",98,"American-Style Pilsener","American Pilsener",4.9,25,NA,NA,"N"
"21","HZ9xM2","\Ray Brown\"" Porter""",18,"Brown Porter","Brown Porter",5.8,30,NA,NA,"Y"
"22","ETaM11","\Roux 40\"" Red IPA""",30,"American-Style India Pale Ale","American IPA",6.7,50,NA,NA,"N"
"23","nupcGa","\Sangria\"" Jazz Hands""",46,"Berliner-Style Weisse (Wheat)","Berlinerweisse",3.4,NA,NA,NA,"N"
"24","Gb2aAs","\Small Batch\"" Hazelwood Farmhouse IPA""",72,"French & Belgian-Style Saison","Saison",6,NA,NA,NA,"Y"
"25","TAtY2B","\Sneaky Devil\"" Double IPA""",31,"Imperial or Double India Pale Ale","Imperial IPA",7.8,80,NA,NA,"N"
"26","8f8vqK","\Sniff\"" IPA""",30,"American-Style India Pale Ale","American IPA",6,50,NA,NA,"N"
"27","Dj5OOw","\SuperDude!\"" Barrel-Aged Russian Imperial Stout""",135,"Wood- and Barrel-Aged Strong Beer","BBL Aged Strong",10,50,NA,NA,"Y"
"28","VnoFfW","\The Great Boo\"" Pumpkin Ale""",121,"Pumpkin Beer","Pumpkin Beer",5.3,NA,NA,NA,"N"
"29","o9CdUe","\The King\"" Imperial Elvis Peanut Butter Banana Sandwich Brown Ale""",125,"Specialty Beer","Specialty",8.2,25,NA,NA,"Y"
"30","u1hJXS","\The Reason\"" Saison""",72,"French & Belgian-Style Saison","Saison",4.5,15,NA,NA,"N"
"31","1qDm69","\Thick Witted\"" Kaffir Double Wit""",65,"Belgian-Style White (or Wit) / Belgian-Style Wheat","Witbier",6.7,25,NA,NA,"N"
"32","dXHJTS","\Thunderkissed\"" Coffee Infused Milk Stout""",123,"Coffee-Flavored Beer","Coffee Beer",5.3,20,NA,NA,"N"
"33","bw2AS4","\Tractor Beam\"" Oatmeal Stout""",21,"Oatmeal Stout","Oatmeal Stout",5.8,30,NA,NA,"N"
"34","kyrjzl","\Turbocharger\"" Double IPA""",31,"Imperial or Double India Pale Ale","Imperial IPA",8.2,70,NA,NA,"N"
"35","K83yUU","\Whistleblower\"" Belgian Wit""",65,"Belgian-Style White (or Wit) / Belgian-Style Wheat","Witbier",5.2,28,NA,NA,"N"
"36","S4DA2h","\Wintah\"" Ale""",37,"American-Style Brown Ale","American Brown",6,24,NA,NA,"N"
"37","2toTiw","# 100",7,"Scottish-Style Light Ale","Scottish Light",10,80,NA,1.094,"N"
"38","vX0d37","# 500",31,"Imperial or Double India Pale Ale","Imperial IPA",10,NA,NA,NA,"N"
"39","WfTRD1","#1 Brown Brett Braggot",147,"Braggot","Braggot",6,18,NA,NA,"N"
"40","QR1aJr","#1 Fan",114,"Fruit Wheat Ale or Lager with or without Yeast","Fruit Wheat Ale",6.8,30,NA,NA,"N"
"41","xFM8w5","#10 Hefewiezen",48,"South German-Style Hefeweizen / Hefeweissbier","Hefeweizen",5.1,11,4,1.052,"N"
"42","XkFxsH","10-Point Bock",88,"Traditional German-Style Bock","Bock",6.2,27,13,NA,"N"
"43","RLLEqZ","10-Year IPA",30,"American-Style India Pale Ale","American IPA",6,NA,NA,NA,"N"
"44","ZaJLVD","10/6 English IPA",2,"English-Style India Pale Ale","English IPA",6.4,69,10,1.064,"N"
"45","bzcvG5","10/6th IPA",30,"American-Style India Pale Ale","American IPA",7.2,111,NA,NA,"N"
"46","jv0DSh","100",31,"Imperial or Double India Pale Ale","Imperial IPA",8.5,25,NA,NA,"N"
"47","wHfz8P","100 (TDH w/ Nelson Sauvin)",31,"Imperial or Double India Pale Ale","Imperial IPA",8.5,25,NA,NA,"N"
"48","s6sdke","100 Acres IPA",30,"American-Style India Pale Ale","American IPA",6,NA,NA,NA,"N"
"49","0286rH","100 Barrel Series #1 Oatmeal Stout",21,"Oatmeal Stout","Oatmeal Stout",5.05,33,NA,NA,"N"
"50","BDMCNd","100 Barrel Series #12 Imperial Stout",43,"American-Style Imperial Stout","American Imperial Stout",7.7,50,NA,NA,"N"
"51","hwSxlt","100 Barrel Series #13 Kellerbier",125,"Specialty Beer","Specialty",5.2,45,NA,NA,"N"
"52","qzIXJa","100 Barrel Series #2 Wit Beer",65,"Belgian-Style White (or Wit) / Belgian-Style Wheat","Witbier",4.5,20,NA,NA,"N"
"53","TJ1LT1","100 Barrel Series #3 Abbey Style Ale",70,"Other Belgian-Style Ales","Belgian Ale",6.5,22,NA,NA,"N"
"54","0UfIRH","100 Barrel Series #30 - Island Creek Oyster Stout",20,"Sweet or Cream Stout","Sweet Stout",5.5,NA,NA,NA,"N"
"55","Gn1xK0","100 Barrel Series #31 -  Single Hop ESB",5,"Extra Special Bitter","ESB",5.8,38,NA,NA,"N"
"56","xboODl","100 Barrel Series #34 Oak Aged Dunkel",52,"South German-Style Dunkel Weizen / Dunkel Weissbier","Dunkelweizen",5.7,NA,NA,NA,"N"
"57","C8c8j9","100 Barrel Series #38 - Docesná Czech",125,"Specialty Beer","Specialty",6.1,35,NA,1.062,"N"
"58","VXcVrg","100 Barrel Series #39 - Vermont Spruce Tip Ale",125,"Specialty Beer","Specialty",7,38,NA,NA,"N"
"59","KGBlvK","100 Barrel Series #4 Barleywine",34,"American-Style Barley Wine Ale","American Barleywine",10.3,80,NA,NA,"N"
"60","lOgUYP","100 Barrel Series #40 Black IPA",125,"Specialty Beer","Specialty",7,67,NA,NA,"N"
"61","NiPIhq","100 Barrel Series #41 Catamount Maple Wheat",112,"Light American Wheat Ale or Lager with Yeast","Wheat Ale",6.8,21,NA,NA,"N"
"62","vcVFBM","100 Barrel Series #45 - Directors' Cut",44,"Specialty Stouts","Stout",6.25,38,NA,NA,"N"
"63","hwDQYE","100 Barrel Series #46 - Hoppy Belgian Blonde Ale",61,"Belgian-Style Blonde Ale","Belgian Blonde",6.5,53,NA,1.061,"N"
"64","FYezHA","100 Barrel Series #49 - Brown IPA",30,"American-Style India Pale Ale","American IPA",5.7,60,NA,1.06,"N"
"65","wZua4l","100 Barrel Series #5 Alt",55,"German-Style Altbier","Altbier",5.25,37,NA,NA,"N"
"66","b1l5Ia","100 Barrel Series #52 - Tuscan Pool Party",132,"Wood- and Barrel-Aged Beer","BBL Aged",7.6,23,NA,NA,"N"
"67","LARZOC","100 Barrel Series #53: Braggot Rights",147,"Braggot","Braggot",8,40,NA,NA,"N"
"68","pZSYFY","100 Barrel Series #54 Nordic Saison",72,"French & Belgian-Style Saison","Saison",6.1,30,4,1.052,"N"
"69","W1cLOQ","100 Barrel Series #56 - Kettle Cup Thunder Foam",158,"American-Style Imperial Porter","American Imperial Porter",6.8,40,NA,NA,"N"
"70","5ck9cS","100 Barrel Series #6 Scotch Style Ale",14,"Strong Ale","Strong Ale",6.9,34,NA,NA,"N"
"71","YtdOEC","100 Barrel Series #7 Union Street Revival Ale",125,"Specialty Beer","Specialty",6.6,36,NA,NA,"N"
"72","PqnogV","100 Barrel Series #8 Smoked Porter",19,"Robust Porter","Robust Porter",5.7,37,NA,NA,"N"
"73","2AWcpw","100 Barrel Series #9 Maibock",89,"German-Style Heller Bock/Maibock","Maibock",5.8,40,NA,NA,"N"
"74","RNQmKc","100 Daze IPA",30,"American-Style India Pale Ale","American IPA",7,69,7,1.067,"N"
"75","S1j5Wh","100 Ft North",72,"French & Belgian-Style Saison","Saison",4.3,NA,NA,NA,"N"
"76","rrAghW","100 Galaxies India Pale Ale",30,"American-Style India Pale Ale","American IPA",6.8,60,NA,1.066,"N"
"77","pOx6jm","100 Million Angels Singing",31,"Imperial or Double India Pale Ale","Imperial IPA",9.2,100,NA,NA,"N"
"78","CziOlU","100 Nights in Goa",145,"Other Fruit Melomel","Fruit Melomel",9.2,NA,NA,NA,"N"
